kind,domain,votes,source,title,published_at,slug,currencies,id,url,created_at
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}","Is Bitcoin about to skyrocket 1,100%? Expert analysis",2023-10-02T12:20:17Z,Is-Bitcoin-about-to-skyrocket-1100-Expert-analysis,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18941859,https://cryptopanic.com/news/18941859/Is-Bitcoin-about-to-skyrocket-1100-Expert-analysis,2023-10-02 12:20:17+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}","Machine learning algorithm predicts Bitcoin price for October 31, 2023",2023-10-02T10:37:18Z,Machine-learning-algorithm-predicts-Bitcoin-price-for-October-31-2023,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18941593,https://cryptopanic.com/news/18941593/Machine-learning-algorithm-predicts-Bitcoin-price-for-October-31-2023,2023-10-02 10:37:18+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}","‘Bitcoin to $40,000 reasonable’ in Q4, says crypto expert",2023-10-02T09:21:33Z,Bitcoin-to-40000-reasonable-in-Q4-says-crypto-expert,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18941428,https://cryptopanic.com/news/18941428/Bitcoin-to-40000-reasonable-in-Q4-says-crypto-expert,2023-10-02 09:21:33+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",R. Kiyosaki urges to ‘buy Bitcoin’ amid hyperinflation warnings,2023-10-02T09:09:24Z,R-Kiyosaki-urges-to-buy-Bitcoin-amid-hyperinflation-warnings,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18941381,https://cryptopanic.com/news/18941381/R-Kiyosaki-urges-to-buy-Bitcoin-amid-hyperinflation-warnings,2023-10-02 09:09:24+00:00
news,en.bitcoinsistemi.com,"{'negative': 2, 'positive': 18, 'important': 14, 'liked': 15, 'disliked': 1, 'lol': 2, 'toxic': 0, 'saved': 1, 'comments': 19}","{'title': 'en bitcoinsistemi', 'region': 'en', 'domain': 'en.bitcoinsistemi.com', 'path': None}","Sudden Rise in Cryptocurrencies: Bitcoin Hits $28,000, Ethereum Hits $1750!",2023-10-01T22:33:04Z,Sudden-Rise-in-Cryptocurrencies-Bitcoin-Hits-28000-Ethereum-Hits-1750,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",18940808,https://cryptopanic.com/news/18940808/Sudden-Rise-in-Cryptocurrencies-Bitcoin-Hits-28000-Ethereum-Hits-1750,2023-10-01 22:33:04+00:00
news,finbold.com,"{'negative': 0, 'positive': 5, 'important': 8, 'liked': 6, 'disliked': 1, 'lol': 1, 'toxic': 0, 'saved': 5, 'comments': 3}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",This is the first known Satoshi Nakamoto’s email; What’s inside?,2023-10-01T14:14:22Z,This-is-the-first-known-Satoshi-Nakamotos-email-Whats-inside,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18940320,https://cryptopanic.com/news/18940320/This-is-the-first-known-Satoshi-Nakamotos-email-Whats-inside,2023-10-01 14:14:22+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",Accumulation opportunity looms for BTC; Time to ride the Bitcoin train?,2023-10-01T12:28:13Z,Accumulation-opportunity-looms-for-BTC-Time-to-ride-the-Bitcoin-train,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18940188,https://cryptopanic.com/news/18940188/Accumulation-opportunity-looms-for-BTC-Time-to-ride-the-Bitcoin-train,2023-10-01 12:28:13+00:00
news,finbold.com,"{'negative': 0, 'positive': 6, 'important': 3, 'liked': 6, 'disliked': 0, 'lol': 3, 'toxic': 0, 'saved': 2, 'comments': 7}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",U.S. dollar lost 99.5% of its value against Bitcoin in the last 10 years,2023-09-30T13:27:58Z,US-dollar-lost-995-of-its-value-against-Bitcoin-in-the-last-10-years,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18939167,https://cryptopanic.com/news/18939167/US-dollar-lost-995-of-its-value-against-Bitcoin-in-the-last-10-years,2023-09-30 13:27:58+00:00
news,finbold.com,"{'negative': 6, 'positive': 0, 'important': 6, 'liked': 5, 'disliked': 0, 'lol': 1, 'toxic': 0, 'saved': 5, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",‘Black Swan’ author: Kiyosaki should ‘stop bullshitting’ about finance,2023-09-30T12:51:39Z,Black-Swan-author-Kiyosaki-should-stop-bullshitting-about-finance,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18939108,https://cryptopanic.com/news/18939108/Black-Swan-author-Kiyosaki-should-stop-bullshitting-about-finance,2023-09-30 12:51:39+00:00
news,cointelegraph.com,"{'negative': 0, 'positive': 7, 'important': 5, 'liked': 4, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}","{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None}",Bitcoin ETFs: A $600B tipping point for crypto,2023-09-29T17:40:38Z,Bitcoin-ETFs-A-600B-tipping-point-for-crypto,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18938009,https://cryptopanic.com/news/18938009/Bitcoin-ETFs-A-600B-tipping-point-for-crypto,2023-09-29 17:40:38+00:00
news,finbold.com,"{'negative': 0, 'positive': 4, 'important': 4, 'liked': 4, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 4, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",2024 Bitcoin forecast by ChatGPT: Insights on the post-halving future,2023-09-29T13:29:12Z,2024-Bitcoin-forecast-by-ChatGPT-Insights-on-the-post-halving-future,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18937370,https://cryptopanic.com/news/18937370/2024-Bitcoin-forecast-by-ChatGPT-Insights-on-the-post-halving-future,2023-09-29 13:29:12+00:00
news,finbold.com,"{'negative': 0, 'positive': 9, 'important': 6, 'liked': 7, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",R. Kiyosaki: Bitcoin will become priceless when CBDC enters market,2023-09-29T08:21:45Z,R-Kiyosaki-Bitcoin-will-become-priceless-when-CBDC-enters-market,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18936546,https://cryptopanic.com/news/18936546/R-Kiyosaki-Bitcoin-will-become-priceless-when-CBDC-enters-market,2023-09-29 08:21:45+00:00
news,coinedition.com,"{'negative': 0, 'positive': 4, 'important': 3, 'liked': 3, 'disliked': 1, 'lol': 5, 'toxic': 0, 'saved': 1, 'comments': 12}","{'title': 'coinedition', 'region': 'en', 'domain': 'coinedition.com', 'path': None}","BTC to Crash $20k Before Halving, Expect Parabolic Rally After: Analyst",2023-09-28T22:01:00Z,BTC-to-Crash-20k-Before-Halving-Expect-Parabolic-Rally-After-Analyst,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18935879,https://cryptopanic.com/news/18935879/BTC-to-Crash-20k-Before-Halving-Expect-Parabolic-Rally-After-Analyst,2023-09-28 22:01:00+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}","Can Bitcoin recover this week? Yes, if this happens",2023-09-27T09:07:08Z,Can-Bitcoin-recover-this-week-Yes-if-this-happens,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18931230,https://cryptopanic.com/news/18931230/Can-Bitcoin-recover-this-week-Yes-if-this-happens,2023-09-27 09:07:08+00:00
news,theblock.co,"{'negative': 0, 'positive': 26, 'important': 14, 'liked': 18, 'disliked': 0, 'lol': 3, 'toxic': 0, 'saved': 0, 'comments': 2}","{'title': 'The Block', 'region': 'en', 'domain': 'theblock.co', 'path': None}",Lawmakers urge SEC Chair Gensler to allow spot bitcoin ETFs ‘immediately’,2023-09-26T19:44:03Z,Lawmakers-urge-SEC-Chair-Gensler-to-allow-spot-bitcoin-ETFs-immediately,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18930171,https://cryptopanic.com/news/18930171/Lawmakers-urge-SEC-Chair-Gensler-to-allow-spot-bitcoin-ETFs-immediately,2023-09-26 19:44:03+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",Bitcoin price prediction for Halloween 2023,2023-09-26T13:19:10Z,Bitcoin-price-prediction-for-Halloween-2023,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18929181,https://cryptopanic.com/news/18929181/Bitcoin-price-prediction-for-Halloween-2023,2023-09-26 13:19:10+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",Here’s how much MicroStrategy is down on its Bitcoin investment,2023-09-26T09:29:13Z,Heres-how-much-MicroStrategy-is-down-on-its-Bitcoin-investment,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18928547,https://cryptopanic.com/news/18928547/Heres-how-much-MicroStrategy-is-down-on-its-Bitcoin-investment,2023-09-26 09:29:13+00:00
news,finbold.com,"{'negative': 3, 'positive': 0, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",R. Kiyosaki on Citibank tokenization: ‘Bye bye Bitcoin and USD?’,2023-09-26T08:38:07Z,R-Kiyosaki-on-Citibank-tokenization-Bye-bye-Bitcoin-and-USD,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18928425,https://cryptopanic.com/news/18928425/R-Kiyosaki-on-Citibank-tokenization-Bye-bye-Bitcoin-and-USD,2023-09-26 08:38:07+00:00
news,newsbtc.com,"{'negative': 7, 'positive': 8, 'important': 3, 'liked': 5, 'disliked': 7, 'lol': 6, 'toxic': 0, 'saved': 0, 'comments': 0}","{'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None}","Cardano Sees Spike In Development Activity, Can The Price Of ADA Follow?",2023-09-25T17:00:32Z,Cardano-Sees-Spike-In-Development-Activity-Can-The-Price-Of-ADA-Follow,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ADA', 'title': 'Cardano', 'slug': 'cardano', 'url': 'https://cryptopanic.com/news/cardano/'}]",18927130,https://cryptopanic.com/news/18927130/Cardano-Sees-Spike-In-Development-Activity-Can-The-Price-Of-ADA-Follow,2023-09-25 17:00:32+00:00
news,finbold.com,"{'negative': 0, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 1}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",ChatGPT analyzes XRP price as Ripple v. SEC set post BTC halving,2023-09-25T14:52:43Z,ChatGPT-analyzes-XRP-price-as-Ripple-v-SEC-set-post-BTC-halving,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}]",18926816,https://cryptopanic.com/news/18926816/ChatGPT-analyzes-XRP-price-as-Ripple-v-SEC-set-post-BTC-halving,2023-09-25 14:52:43+00:00
news,finbold.com,"{'negative': 2, 'positive': 1, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",Why is the crypto market down today?,2023-09-25T12:01:37Z,Why-is-the-crypto-market-down-today,"[{'code': 'MC_', 'title': 'Market Cap', 'slug': 'market-cap', 'url': 'https://cryptopanic.com/news/market-cap/'}, {'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",18926310,https://cryptopanic.com/news/18926310/Why-is-the-crypto-market-down-today,2023-09-25 12:01:37+00:00
news,finbold.com,"{'negative': 2, 'positive': 4, 'important': 7, 'liked': 6, 'disliked': 0, 'lol': 2, 'toxic': 0, 'saved': 4, 'comments': 9}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",Stock market to crash? Bankruptcy filings soar to ‘dangerous levels’,2023-09-25T10:48:31Z,Stock-market-to-crash-Bankruptcy-filings-soar-to-dangerous-levels,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18926101,https://cryptopanic.com/news/18926101/Stock-market-to-crash-Bankruptcy-filings-soar-to-dangerous-levels,2023-09-25 10:48:31+00:00
news,dailyhodl.com,"{'negative': 1, 'positive': 3, 'important': 3, 'liked': 4, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 2, 'comments': 1}","{'title': 'The Daily Hodl', 'region': 'en', 'domain': 'dailyhodl.com', 'path': None}",Chainlink (LINK) and Three Low-Cap Altcoins Could Witness More Rallies Amid Strong Network Activity: Santiment,2023-09-25T00:00:45Z,Chainlink-LINK-and-Three-Low-Cap-Altcoins-Could-Witness-More-Rallies-Amid-Strong-Network-Activity-Santiment,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'LINK', 'title': 'Chainlink', 'slug': 'chainlink', 'url': 'https://cryptopanic.com/news/chainlink/'}]",18925240,https://cryptopanic.com/news/18925240/Chainlink-LINK-and-Three-Low-Cap-Altcoins-Could-Witness-More-Rallies-Amid-Strong-Network-Activity-Santiment,2023-09-25 00:00:45+00:00
news,en.bitcoinsistemi.com,"{'negative': 0, 'positive': 5, 'important': 4, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 2, 'comments': 2}","{'title': 'en bitcoinsistemi', 'region': 'en', 'domain': 'en.bitcoinsistemi.com', 'path': None}",Coinbase’s Bitcoin Reserve Wallet Discovered: Here is How Much BTC It Holds,2023-09-22T18:19:07Z,Coinbases-Bitcoin-Reserve-Wallet-Discovered-Here-is-How-Much-BTC-It-Holds,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",18922568,https://cryptopanic.com/news/18922568/Coinbases-Bitcoin-Reserve-Wallet-Discovered-Here-is-How-Much-BTC-It-Holds,2023-09-22 18:19:07+00:00
news,bitcoinist.com,"{'negative': 0, 'positive': 7, 'important': 3, 'liked': 5, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 1}","{'title': 'Bitcoinist', 'region': 'en', 'domain': 'bitcoinist.com', 'path': None}","Ethereum And Cosmos Compatible With A City, South Korea Wants To Make It Happen",2023-09-21T14:00:17Z,Ethereum-And-Cosmos-Compatible-With-A-City-South-Korea-Wants-To-Make-It-Happen,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'ATOM', 'title': 'Cosmos Hub', 'slug': 'cosmos', 'url': 'https://cryptopanic.com/news/cosmos/'}]",18919314,https://cryptopanic.com/news/18919314/Ethereum-And-Cosmos-Compatible-With-A-City-South-Korea-Wants-To-Make-It-Happen,2023-09-21 14:00:17+00:00
